0,0,0
15:47:33.004,Node3,-55
15:47:33.004,Node5,-55
15:47:33.004,Node2,-52
15:47:49.888,Node1,-59
15:47:49.888,Node0,-53
15:47:49.888,Node3,-55
15:47:49.888,Node5,-55
15:47:49.888,Node2,-54
15:48:12.844,Node1,-56
15:48:12.844,Node0,-54
15:48:12.844,Node3,-53
15:48:12.844,Node5,-56
15:48:12.844,Node2,-53
15:48:27.734,Node1,-56
15:48:27.734,Node0,-52
15:48:27.734,Node3,-66
15:48:27.734,Node5,-59
15:48:27.734,Node2,-53
15:48:44.703,Node1,-58
15:48:44.703,Node0,-51
15:48:44.703,Node3,-56
15:48:44.703,Node5,-55
15:48:44.703,Node2,-55
15:49:1.643,Node1,-57
15:49:1.643,Node0,-51
15:49:1.643,Node3,-56
15:49:1.643,Node5,-53
15:49:1.643,Node2,-53
15:49:18.531,Node1,-64
15:49:18.531,Node0,-54
15:49:18.531,Node3,-52
15:49:18.531,Node5,-55
15:49:18.531,Node2,-52
15:49:33.464,Node1,-56
15:49:33.464,Node0,-52
15:49:33.464,Node3,-64
15:49:33.464,Node5,-56
15:49:33.464,Node2,-52
15:49:50.36,Node1,-61
15:49:50.36,Node0,-52
15:49:50.36,Node3,-60
15:49:50.36,Node5,-62
15:49:50.36,Node2,-57
15:50:5.269,Node1,-62
15:50:5.269,Node0,-50
15:50:5.269,Node3,-61
15:50:5.269,Node5,-61
15:50:5.269,Node2,-54
15:50:22.167,Node1,-60
15:50:22.167,Node0,-53
15:50:22.167,Node3,-60
15:50:22.167,Node5,-55
15:50:22.167,Node2,-54
15:50:39.083,Node1,-58
15:50:39.083,Node0,-52
15:50:39.083,Node3,-69
15:50:39.083,Node5,-53
15:50:39.083,Node2,-52
15:50:54.001,Node1,-59
15:50:54.001,Node0,-51
15:50:54.001,Node3,-61
15:50:54.001,Node5,-55
15:50:54.001,Node2,-55
15:51:18.963,Node1,-62
15:51:18.963,Node0,-50
15:51:18.963,Node3,-68
15:51:18.963,Node5,-53
15:51:18.963,Node2,-56
15:51:33.915,Node1,-62
15:51:33.915,Node0,-52
15:51:33.915,Node3,-63
15:51:33.915,Node5,-53
15:51:33.915,Node2,-54
15:51:50.798,Node1,-62
15:51:50.798,Node0,-51
15:51:50.798,Node3,-64
15:51:50.798,Node5,-57
15:51:50.798,Node2,-54
15:52:5.727,Node1,-62
15:52:5.727,Node0,-52
15:52:5.727,Node3,-61
15:52:5.727,Node5,-53
15:52:5.727,Node2,-56
15:52:22.675,Node1,-62
15:52:22.675,Node0,-52
15:52:22.675,Node3,-63
15:52:22.675,Node5,-57
15:52:22.675,Node2,-52
15:52:39.613,Node1,-67
15:52:39.613,Node0,-52
15:52:39.613,Node3,-67
15:52:39.613,Node5,-53
15:52:39.613,Node2,-55
15:52:54.505,Node1,-59
15:52:54.505,Node0,-53
15:52:54.505,Node3,-64
15:52:54.505,Node5,-54
15:52:54.505,Node2,-58
15:53:13.405,Node1,-58
15:53:13.405,Node0,-52
15:53:13.405,Node3,-75
15:53:13.405,Node5,-52
15:53:13.405,Node2,-55
15:53:28.302,Node1,-56
15:53:28.302,Node0,-52
15:53:28.302,Node3,-58
15:53:28.302,Node5,-54
15:53:28.302,Node2,-54
15:53:45.221,Node1,-60
15:53:45.221,Node0,-51
15:53:45.221,Node3,-62
15:53:45.221,Node5,-57
15:53:45.221,Node2,-56
15:54:0.118,Node1,-56
15:54:0.118,Node0,-52
15:54:0.118,Node3,-60
15:54:0.118,Node5,-53
15:54:0.118,Node2,-52
15:54:23.059,Node1,-58
15:54:23.059,Node0,-51
15:54:23.059,Node3,-66
15:54:23.059,Node5,-55
15:54:23.059,Node2,-54
15:54:37.989,Node1,-57
15:54:37.989,Node0,-50
15:54:37.989,Node3,-68
15:54:37.989,Node5,-54
15:54:37.989,Node2,-58
15:54:54.907,Node1,-58
15:54:54.907,Node0,-50
15:54:54.907,Node3,-61
15:54:54.907,Node5,-52
15:54:54.907,Node2,-60
15:55:11.842,Node1,-56
15:55:11.842,Node0,-50
15:55:11.842,Node3,-60
15:55:11.842,Node5,-55
15:55:11.842,Node2,-67
15:55:28.752,Node1,-60
15:55:28.752,Node0,-52
15:55:28.752,Node3,-61
15:55:28.752,Node5,-54
15:55:28.752,Node2,-62
15:55:43.646,Node1,-57
15:55:43.646,Node0,-51
15:55:43.646,Node3,-61
15:55:43.646,Node5,-56
15:55:43.646,Node2,-62
15:55:58.541,Node1,-57
