0,0,0
15:35:51.304,Node1,13.4783
15:35:51.304,Node0,7.6812
15:35:51.304,Node3,9.1304
15:35:51.304,Node5,7.6812
15:35:51.304,Node2,4.7826
15:36:8.428,Node1,14.9275
15:36:8.428,Node0,16.3768
15:36:8.428,Node3,16.3768
15:36:8.428,Node5,13.4783
15:36:8.428,Node2,0
15:36:23.368,Node1,25.0725
15:36:23.368,Node0,13.4783
15:36:23.368,Node3,13.4783
15:36:23.368,Node5,14.9275
15:36:23.368,Node2,0
15:36:40.306,Node1,30.8696
15:36:40.306,Node0,17.8261
15:36:40.306,Node3,13.4783
15:36:40.306,Node5,13.4783
15:36:40.306,Node2,0.43478
15:36:55.158,Node1,23.6232
15:36:55.158,Node0,14.9275
15:36:55.158,Node3,16.3768
15:36:55.158,Node5,12.029
15:36:55.158,Node2,1.8841
15:37:12.053,Node1,17.8261
15:37:12.053,Node0,13.4783
15:37:12.053,Node3,16.3768
15:37:12.053,Node5,9.1304
15:37:12.053,Node2,4.7826
15:37:31.137,Node1,45.3623
15:37:31.137,Node0,14.9275
15:37:31.137,Node3,20.7246
15:37:31.137,Node5,9.1304
15:37:31.137,Node2,1.8841
15:37:46.037,Node1,32.3188
15:37:46.037,Node0,10.5797
15:37:46.037,Node3,14.9275
15:37:46.037,Node5,13.4783
15:37:46.037,Node2,0
15:38:1.29,Node1,20.7246
15:38:1.29,Node0,12.029
15:38:1.29,Node3,12.029
15:38:1.29,Node5,16.3768
15:38:1.29,Node2,1.8841
15:38:18.319,Node1,23.6232
15:38:18.319,Node0,14.9275
15:38:18.319,Node3,17.8261
15:38:18.319,Node5,17.8261
15:38:18.319,Node2,0.43478
15:38:35.227,Node1,16.3768
15:38:35.227,Node0,10.5797
15:38:35.227,Node3,13.4783
15:38:35.227,Node5,13.4783
15:38:35.227,Node2,3.3333
15:38:56.163,Node1,16.3768
15:38:56.163,Node0,4.7826
15:38:56.163,Node3,22.1739
15:38:56.163,Node5,10.5797
15:38:56.163,Node2,0
15:39:13.089,Node1,17.8261
15:39:13.089,Node0,3.3333
15:39:13.089,Node3,12.029
15:39:13.089,Node5,12.029
15:39:13.089,Node2,4.7826
15:39:30.011,Node1,32.3188
15:39:30.011,Node0,4.7826
15:39:30.011,Node3,17.8261
15:39:30.011,Node5,12.029
15:39:30.011,Node2,6.2319
15:39:44.973,Node1,23.6232
15:39:44.973,Node0,4.7826
15:39:44.973,Node3,10.5797
15:39:44.973,Node5,13.4783
15:39:44.973,Node2,3.3333
15:40:1.904,Node1,29.4203
15:40:1.904,Node0,6.2319
15:40:1.904,Node3,20.7246
15:40:1.904,Node5,14.9275
15:40:1.904,Node2,1.8841
15:40:18.821,Node1,33.7681
15:40:18.821,Node0,4.7826
15:40:18.821,Node3,20.7246
15:40:18.821,Node5,19.2754
15:40:18.821,Node2,0.43478
15:40:33.709,Node1,19.2754
15:40:33.709,Node0,4.7826
15:40:33.709,Node3,16.3768
15:40:33.709,Node5,13.4783
15:40:33.709,Node2,3.3333
15:40:50.687,Node1,26.5217
15:40:50.687,Node0,10.5797
15:40:50.687,Node3,14.9275
15:40:50.687,Node5,17.8261
15:40:50.687,Node2,0
15:41:7.584,Node1,22.1739
15:41:7.584,Node0,4.7826
15:41:7.584,Node3,29.4203
15:41:7.584,Node5,12.029
15:41:7.584,Node2,0.43478
15:41:22.493,Node1,23.6232
15:41:22.493,Node0,6.2319
15:41:22.493,Node3,12.029
15:41:22.493,Node5,29.4203
15:41:22.493,Node2,3.3333
15:41:39.44,Node1,23.6232
15:41:39.44,Node0,4.7826
15:41:39.44,Node3,12.029
15:41:39.44,Node5,17.8261
15:41:39.44,Node2,3.3333
15:42:2.387,Node1,23.6232
15:42:2.387,Node0,3.3333
15:42:2.387,Node3,16.3768
15:42:2.387,Node5,14.9275
15:42:2.387,Node2,3.3333
15:42:19.339,Node1,25.0725
15:42:19.339,Node0,4.7826
15:42:19.339,Node3,13.4783
15:42:19.339,Node5,12.029
15:42:19.339,Node2,3.3333
15:42:34.265,Node1,12.029
15:42:34.265,Node0,3.3333
15:42:34.265,Node3,14.9275
15:42:34.265,Node5,17.8261
15:42:34.265,Node2,3.3333
15:42:51.199,Node1,19.2754
15:42:51.199,Node0,3.3333
15:42:51.199,Node3,9.1304
15:42:51.199,Node5,13.4783
15:42:51.199,Node2,0
15:43:8.095,Node1,7.6812
15:43:8.095,Node0,4.7826
15:43:8.095,Node3,6.2319
15:43:8.095,Node5,14.9275
15:43:8.095,Node2,9.1304
15:43:25.044,Node1,19.2754
15:43:25.044,Node0,10.5797
15:43:25.044,Node3,7.6812
15:43:25.044,Node5,14.9275
15:43:25.044,Node2,13.4783
15:43:40.02,Node1,16.3768
15:43:40.02,Node0,7.6812
15:43:40.02,Node3,9.1304
15:43:40.02,Node5,13.4783
15:43:40.02,Node2,3.3333
15:43:56.955,Node1,29.4203
15:43:56.955,Node0,6.2319
15:43:56.955,Node3,6.2319
15:43:56.955,Node5,9.1304
15:43:56.955,Node2,7.6812
15:44:13.902,Node1,23.6232
15:44:13.902,Node0,7.6812
15:44:13.902,Node3,13.4783
15:44:13.902,Node5,9.1304
15:44:13.902,Node2,3.3333
15:44:28.806,Node1,26.5217
15:44:28.806,Node0,10.5797
15:44:28.806,Node3,9.1304
15:44:28.806,Node5,6.2319
15:44:28.806,Node2,3.3333
15:44:43.698,Node1,17.8261
15:44:43.698,Node0,6.2319
15:44:43.698,Node3,7.6812
15:44:43.698,Node5,4.7826
