16:23:35.218,2.2167,16.0316
16:23:50.413,2.2666,4.8231
16:24:7.417,3.7397,-4.9562
16:24:22.352,1.0905,-2.8383
16:24:39.327,-11.8956,-1.0394
16:24:54.263,1.1379,2.2502
16:25:11.177,6.3318,0.96918
16:25:26.106,-8.0166,-5.7718
16:25:41.046,-4.4553,-5.8352
16:25:57.975,-2.4963,-7.2374
16:26:14.892,1.8407,-2.2126
16:26:37.832,-5.3021,13.1023
16:26:54.807,4.3785,-3.5922
16:27:11.706,3.4691,9.7222
16:27:26.642,2.446,-6.8404
16:27:43.548,6.5299,6.6561
16:28:0.499,6.7453,3.7733
16:28:17.429,-7.0774,-6.6196
16:28:34.321,-7.8347,-3.9788
16:28:49.24,2.1092,9.9644
16:29:6.161,9.2812,3.1241
16:29:21.074,4.3561,-5.2285
16:29:44.019,1.4437,-2.8806
16:29:56.954,-0.52421,0.12057
16:30:13.876,-0.48264,2.0677
16:30:30.819,-13.8695,-1.3939
16:30:45.699,1.3157,0.12457
16:31:2.617,7.2748,2.0331
16:31:17.495,3.8337,0.98336
16:31:34.42,-0.92638,-1.4848
16:31:49.343,-2.1484,1.2473
16:32:4.267,-11.3519,-4.8511
16:32:21.169,2.1607,3.4249
16:32:42.099,-1.0848,-6.7753
16:32:57.036,4.6348,6.6238
16:33:13.977,5.4187,1.5974
16:33:30.91,-7.2266,-5.622
16:33:45.813,1.5147,3.7426
16:34:2.722,5.0047,3.1325
16:34:17.616,3.1831,-1.1573
16:52:4.69,1.0876,-0.78529
16:52:17.681,-0.61688,0.13369
16:52:34.595,3.6474,-1.3163
16:52:51.495,-11.9852,-2.8031
16:53:12.42,-1.0083,-0.28245
16:53:27.366,3.3128,3.2792
16:53:44.306,3.8578,0.3407
16:53:59.216,0.80981,-0.68445
16:54:16.154,-2.3986,0.42842
16:54:31.032,-1.9542,0.0090745
16:54:47.984,0.60709,0.26963
16:55:2.926,-0.32347,-0.3267
16:55:19.824,0.20176,0.061119
16:55:34.753,1.8083,1.3726
16:55:51.693,2.47,-0.052565
16:56:12.618,-0.19976,0.45883
16:56:29.54,-3.4656,-1.5063
16:56:44.465,1.9907,3.039
16:57:1.382,-2.0696,-0.64362
16:57:18.338,0.96807,-1.6289
16:57:33.225,0.47216,0.31581
16:57:48.138,1.6389,1.313
16:58:5.092,4.0407,0.5333
16:58:22.014,-3.9049,-2.372
16:58:36.962,-0.92269,0.16938
16:58:53.885,-2.7626,-0.096123
16:59:14.845,-1.8573,-1.0561
16:59:31.808,-0.72612,-1.0478
16:59:46.703,2.0274,0.10151
17:0:3.6,4.089,-0.075237
