0,0,0
15:59:1.093,Node1,-55
15:59:1.093,Node0,-51
15:59:1.093,Node3,-64
15:59:1.093,Node5,-58
15:59:1.093,Node2,-64
15:59:18.054,Node1,-58
15:59:18.054,Node0,-52
15:59:18.054,Node3,-66
15:59:18.054,Node5,-53
15:59:18.054,Node2,-52
15:59:32.928,Node1,-56
15:59:32.928,Node0,-53
15:59:32.928,Node3,-62
15:59:32.928,Node5,-55
15:59:32.928,Node2,-53
15:59:49.789,Node1,-56
15:59:49.789,Node0,-59
15:59:49.789,Node3,-66
15:59:49.789,Node5,-53
15:59:49.789,Node2,-54
16:0:6.707,Node1,-55
16:0:6.707,Node0,-60
16:0:6.707,Node3,-56
16:0:6.707,Node5,-55
16:0:6.707,Node2,-52
16:0:23.617,Node1,-55
16:0:23.617,Node0,-63
16:0:23.617,Node3,-56
16:0:23.617,Node5,-50
16:0:23.617,Node2,-52
16:0:38.474,Node1,-57
16:0:38.474,Node0,-66
16:0:38.474,Node3,0
16:0:38.474,Node5,-54
16:0:38.474,Node2,-53
16:0:53.339,Node1,-58
16:0:53.339,Node0,-61
16:0:53.339,Node3,-61
16:0:53.339,Node5,-58
16:0:53.339,Node2,-52
16:1:10.257,Node1,-57
16:1:10.257,Node0,-60
16:1:10.257,Node3,-67
16:1:10.257,Node5,-56
16:1:10.257,Node2,-52
16:1:27.159,Node1,-56
16:1:27.159,Node0,-58
16:1:27.159,Node3,-63
16:1:27.159,Node5,-56
16:1:27.159,Node2,-53
16:1:42.027,Node1,-57
16:1:42.027,Node0,-56
16:1:42.027,Node3,-67
16:1:42.027,Node5,-55
16:1:42.027,Node2,-54
16:2:4.96,Node1,-54
16:2:4.96,Node0,-54
16:2:4.96,Node3,-70
16:2:4.96,Node5,-51
16:2:4.96,Node2,-55
16:2:21.865,Node1,-54
16:2:21.865,Node0,-54
16:2:21.865,Node3,-66
16:2:21.865,Node5,-53
16:2:21.865,Node2,-55
16:2:38.759,Node1,-55
16:2:38.759,Node0,-56
16:2:38.759,Node3,-59
16:2:38.759,Node5,-55
16:2:38.759,Node2,-56
16:2:53.669,Node1,-53
16:2:53.669,Node0,-53
16:2:53.669,Node3,-56
16:2:53.669,Node5,-60
16:2:53.669,Node2,-58
16:3:10.551,Node1,-54
16:3:10.551,Node0,-56
16:3:10.551,Node3,-75
16:3:10.551,Node5,-58
16:3:10.551,Node2,-53
16:3:25.42,Node1,-55
16:3:25.42,Node0,-53
16:3:25.42,Node3,-57
16:3:25.42,Node5,-53
16:3:25.42,Node2,-54
16:3:42.294,Node1,-54
16:3:42.294,Node0,-55
16:3:42.294,Node3,-58
16:3:42.294,Node5,-55
16:3:42.294,Node2,-54
16:3:57.16,Node1,-54
16:3:57.16,Node0,-53
16:3:57.16,Node3,-58
16:3:57.16,Node5,-58
16:3:57.16,Node2,-55
16:4:14.055,Node1,-55
16:4:14.055,Node0,-53
16:4:14.055,Node3,-54
16:4:14.055,Node5,-57
16:4:14.055,Node2,-56
16:4:30.936,Node1,-56
16:4:30.936,Node0,-55
16:4:30.936,Node3,-55
16:4:30.936,Node5,-59
