0,0,0
15:17:1.553,Node5,-50
15:17:1.553,Node2,-55
15:17:18.43,Node1,-54
15:17:18.43,Node0,-53
15:17:18.43,Node3,-68
15:17:18.43,Node5,-50
15:17:18.43,Node2,-53
15:17:41.32,Node1,-55
15:17:41.32,Node0,-53
15:17:41.32,Node3,-69
15:17:41.32,Node5,-50
15:17:41.32,Node2,-54
15:17:58.196,Node1,-55
15:17:58.196,Node0,-52
15:17:58.196,Node3,-69
15:17:58.196,Node5,-50
15:17:58.196,Node2,-54
15:18:13.098,Node1,-53
15:18:13.098,Node0,-51
15:18:13.098,Node3,-63
15:18:13.098,Node5,-52
15:18:13.098,Node2,-56
15:18:29.969,Node1,-55
15:18:29.969,Node0,-52
15:18:29.969,Node3,-59
15:18:29.969,Node5,-51
15:18:29.969,Node2,-56
15:18:44.881,Node1,-56
15:18:44.881,Node0,-52
15:18:44.881,Node3,-65
15:18:44.881,Node5,-50
15:18:44.881,Node2,-53
15:19:1.79,Node1,-58
15:19:1.79,Node0,-51
15:19:1.79,Node3,-69
15:19:1.79,Node5,-50
15:19:1.79,Node2,-53
15:19:16.673,Node1,-53
15:19:16.673,Node0,-52
15:19:16.673,Node3,-60
15:19:16.673,Node5,-50
15:19:16.673,Node2,-52
15:19:31.547,Node1,-54
15:19:31.547,Node0,-51
15:19:31.547,Node3,-60
15:19:31.547,Node5,-51
15:19:31.547,Node2,-65
15:19:48.443,Node1,-56
15:19:48.443,Node0,-52
15:19:48.443,Node3,-59
15:19:48.443,Node5,-49
15:19:48.443,Node2,-57
15:20:5.333,Node1,-56
15:20:5.333,Node0,-54
15:20:5.333,Node3,-62
15:20:5.333,Node5,-49
15:20:5.333,Node2,-54
15:20:20.251,Node1,-57
15:20:20.251,Node0,-53
15:20:20.251,Node3,-58
15:20:20.251,Node5,-50
15:20:20.251,Node2,-51
15:20:43.256,Node1,-55
15:20:43.256,Node0,-52
15:20:43.256,Node3,-61
15:20:43.256,Node5,-50
15:20:43.256,Node2,-52
15:21:0.16,Node1,-55
15:21:0.16,Node0,-52
15:21:0.16,Node3,-63
15:21:0.16,Node5,-50
15:21:0.16,Node2,-52
15:21:15.098,Node1,-59
15:21:15.098,Node0,-53
15:21:15.098,Node3,-62
15:21:15.098,Node5,-49
15:21:15.098,Node2,-52
15:21:29.993,Node1,0
15:21:29.993,Node0,-54
15:21:29.993,Node3,-63
15:21:29.993,Node5,-49
15:21:29.993,Node2,-54
15:21:46.882,Node1,-60
15:21:46.882,Node0,-53
15:21:46.882,Node3,-63
15:21:46.882,Node5,-51
15:21:46.882,Node2,-59
15:22:1.79,Node1,-56
15:22:1.79,Node0,-52
15:22:1.79,Node3,-59
15:22:1.79,Node5,-52
15:22:1.79,Node2,-56
15:22:18.676,Node1,-55
15:22:18.676,Node0,-52
15:22:18.676,Node3,-63
15:22:18.676,Node5,-52
15:22:18.676,Node2,-58
15:22:35.641,Node1,-54
15:22:35.641,Node0,-53
15:22:35.641,Node3,-64
15:22:35.641,Node5,-50
15:22:35.641,Node2,-61
15:22:50.535,Node1,-53
15:22:50.535,Node0,-53
15:22:50.535,Node3,-57
15:22:50.535,Node5,-50
15:22:50.535,Node2,-62
15:23:7.467,Node1,-52
15:23:7.467,Node0,-54
15:23:7.467,Node3,-66
15:23:7.467,Node5,-52
15:23:7.467,Node2,-57
15:23:22.357,Node1,-53
15:23:22.357,Node0,-53
15:23:22.357,Node3,-64
15:23:22.357,Node5,-53
15:23:22.357,Node2,-59
15:23:45.271,Node1,-53
15:23:45.271,Node0,-53
15:23:45.271,Node3,-62
15:23:45.271,Node5,-54
15:23:45.271,Node2,-57
15:24:2.157,Node1,-52
15:24:2.157,Node0,-53
15:24:2.157,Node3,-63
